"","PISAC","PARURO","COLQUEPATA","CCATCCA","CAICAY","fecha"
"1",7.80533218383789,8.3183650970459,6.7569842338562,7.05596590042114,7.12441682815552,1981-01-01
"2",8.35153198242188,8.1697244644165,7.2512788772583,7.06007957458496,7.08769226074219,1981-02-01
"3",6.95265769958496,6.51137638092041,5.99958848953247,6.09426498413086,6.14304447174072,1981-03-01
"4",4.77037906646729,4.52053499221802,3.6708071231842,4.2424578666687,4.40919828414917,1981-04-01
"5",1.51801145076752,2.21293115615845,-0.801871716976166,0.710914433002472,0.809438645839691,1981-05-01
"6",-0.295155644416809,0.892914533615112,-3.33186674118042,-2.09209251403809,-1.38147115707397,1981-06-01
"7",-0.297844380140305,1.38683950901031,-3.7786021232605,-1.5228283405304,-1.22269535064697,1981-07-01
"8",1.43317759037018,3.19810271263123,-2.0016040802002,0.29889327287674,0.336562484502792,1981-08-01
"9",3.30692219734192,4.42171382904053,0.28777614235878,2.42466402053833,2.28102493286133,1981-09-01
"10",5.96121597290039,6.45676469802856,3.44045472145081,5.01003837585449,5.09982538223267,1981-10-01
"11",7.51199769973755,6.9664888381958,5.71611452102661,6.56874132156372,6.36583375930786,1981-11-01
"12",8.24603652954102,7.98339700698853,7.09298992156982,7.3745756149292,7.58246231079102,1981-12-01
"13",7.61409950256348,8.11255359649658,6.8014669418335,6.93590307235718,7.1653938293457,1982-01-01
"14",7.85642910003662,7.65258979797363,7.00060701370239,6.50855112075806,6.8085412979126,1982-02-01
"15",7.24683427810669,6.79893589019775,6.33350896835327,6.47656154632568,6.52667999267578,1982-03-01
"16",4.79929637908936,4.52484083175659,3.69948768615723,4.28685522079468,4.42522192001343,1982-04-01
"17",0.744608163833618,1.60568177700043,-1.70592081546783,-0.132904186844826,0.0568636767566204,1982-05-01
"18",-0.113344937562943,0.939244985580444,-3.15815448760986,-1.71585249900818,-1.2555330991745,1982-06-01
"19",-0.657385587692261,0.974322438240051,-4.13768625259399,-1.69699501991272,-1.47563517093658,1982-07-01
"20",0.862221121788025,2.64147114753723,-2.47821259498596,-0.340768277645111,-0.0627565830945969,1982-08-01
"21",2.98055052757263,4.02982139587402,0.336045891046524,2.24072074890137,2.28886032104492,1982-09-01
"22",5.98009872436523,6.50451564788818,3.29363822937012,5.07674694061279,4.99171543121338,1982-10-01
"23",7.90694665908813,7.42405223846436,6.0108323097229,7.07337856292725,6.63190889358521,1982-11-01
"24",7.28915882110596,7.04251003265381,6.05578279495239,6.3256402015686,6.67123651504517,1982-12-01
"25",7.54139471054077,8.16068840026855,6.55650329589844,6.73751926422119,6.97227334976196,1983-01-01
"26",8.23230361938477,8.0817174911499,6.93011665344238,6.8056526184082,6.77713823318481,1983-02-01
"27",7.45196914672852,7.14289808273315,6.28306150436401,6.52587366104126,6.50733041763306,1983-03-01
"28",5.67504167556763,5.47104597091675,4.55035495758057,5.16135597229004,5.37497472763062,1983-04-01
"29",1.85193419456482,2.67137265205383,-0.483750015497208,0.991158902645111,1.40439641475677,1983-05-01
"30",0.714448094367981,1.72432744503021,-2.43620300292969,-0.796050608158112,-0.589207172393799,1983-06-01
"31",0.265416234731674,1.93237471580505,-3.5150887966156,-0.810730338096619,-0.806802153587341,1983-07-01
"32",1.97531008720398,3.61973190307617,-1.66542494297028,0.894342839717865,0.658827424049377,1983-08-01
"33",3.7194287776947,4.77592515945435,0.788187026977539,2.92411994934082,2.76271986961365,1983-09-01
"34",5.20750761032104,5.78730535507202,2.75597834587097,4.22674179077148,4.55522727966309,1983-10-01
"35",5.9088921546936,5.39029359817505,4.11206150054932,4.8105902671814,4.80386829376221,1983-11-01
"36",7.37542867660522,7.14453458786011,6.38726568222046,6.45620441436768,6.9320650100708,1983-12-01
"37",7.26757860183716,7.7921404838562,6.45639753341675,6.61904430389404,6.83834314346313,1984-01-01
"38",8.108323097229,7.94545030593872,7.07929658889771,6.85833024978638,6.93720531463623,1984-02-01
"39",7.58491849899292,7.17693758010864,6.56989240646362,6.83135271072388,6.73295259475708,1984-03-01
"40",5.68140363693237,5.42186975479126,4.43403482437134,5.15078973770142,5.16019821166992,1984-04-01
"41",2.0539436340332,2.65976238250732,-0.184986457228661,1.41577816009521,1.37671291828156,1984-05-01
"42",1.50756216049194,2.42775630950928,-1.41995084285736,0.116608425974846,0.323042958974838,1984-06-01
"43",-0.757884800434113,0.812934756278992,-4.35665321350098,-1.77488958835602,-1.77440190315247,1984-07-01
"44",0.463689386844635,2.15591263771057,-3.21492695808411,-0.652365744113922,-0.834392428398132,1984-08-01
"45",2.13411426544189,3.24405336380005,-0.816792190074921,1.24667418003082,1.28125298023224,1984-09-01
"46",6.53001260757446,6.99911832809448,4.20100498199463,5.69222068786621,5.76754903793335,1984-10-01
"47",7.31490612030029,6.81659173965454,5.53491401672363,6.48572587966919,6.17716550827026,1984-11-01
"48",7.31037473678589,7.01295375823975,5.99753856658936,6.42601919174194,6.50463485717773,1984-12-01
"49",6.76490688323975,7.18111610412598,5.98488092422485,5.89299345016479,6.34080028533936,1985-01-01
"50",7.73421859741211,7.5812816619873,6.60729217529297,6.49274063110352,6.48326015472412,1985-02-01
"51",6.8758864402771,6.4421272277832,5.9423999786377,6.0852427482605,6.0938458442688,1985-03-01
"52",5.63380861282349,5.36064767837524,4.47901630401611,5.22562980651855,5.17207098007202,1985-04-01
"53",2.40274429321289,2.93232846260071,0.351653516292572,1.83672964572906,1.79437386989594,1985-05-01
"54",0.510379433631897,1.45908415317535,-1.89483857154846,-0.760494947433472,-0.215783149003983,1985-06-01
