"","PISAC","PARURO","COLQUEPATA","CCATCCA","CAICAY","fecha"
"1",13.5841445922852,15.008020401001,12.485600233078,12.7131769657135,12.9096338748932,1981-01-01
"2",13.7686109542847,14.7703909873962,12.5890460014343,12.6470031738281,12.7850999832153,1981-02-01
"3",13.3130569458008,14.3085103034973,12.2258312702179,12.5774478912354,12.7564635276794,1981-03-01
"4",12.0038180351257,13.2977278232574,11.0019208192825,11.527067899704,11.7632119655609,1981-04-01
"5",11.1235067248344,12.4502708911896,9.56550720334053,10.1816567480564,10.4361562430859,1981-05-01
"6",10.1184601187706,11.4790929555893,8.13657689094543,8.54435539245605,9.1494505405426,1981-06-01
"7",10.0691602379084,11.6113122105598,7.83439373970032,8.80873620510101,9.197425365448,1981-07-01
"8",10.638804256916,12.4056643247604,8.52950859069824,9.51338687539101,9.80893008410931,1981-08-01
"9",11.3542934656143,12.911084651947,9.56305272877216,10.3843348026276,10.6994733810425,1981-09-01
"10",13.388542175293,14.5034964084625,11.7779885530472,12.4345550537109,12.8120853900909,1981-10-01
"11",14.3244640827179,15.0659947395325,13.3061611652374,13.3840315341949,13.7319042682648,1981-11-01
"12",14.4333753585815,15.4549477100372,13.3378252983093,13.5950398445129,13.8314046859741,1981-12-01
"13",13.2684888839722,14.7218689918518,12.2918848991394,12.409919500351,12.7128648757935,1982-01-01
"14",13.6741518974304,14.6327962875366,12.5460102558136,12.5653994083405,12.7272362709045,1982-02-01
"15",13.2195074558258,14.2025971412659,12.2270619869232,12.5130009651184,12.7600879669189,1982-03-01
"16",12.3279023170471,13.5479476451874,11.2867250442505,11.8629138469696,12.0249507427216,1982-04-01
"17",10.691330075264,12.0868880152702,9.10222548246384,9.70999997109175,10.0408334191889,1982-05-01
"18",10.187252625823,11.4838827848434,8.24250936508179,8.70972168445587,9.21312719583511,1982-06-01
"19",10.3047872781754,11.8600535988808,8.14517378807068,9.07738959789276,9.53865069150925,1982-07-01
"20",10.7825109362602,12.5135418176651,8.67987811565399,9.65168789029121,9.96663997322321,1982-08-01
"21",12.233438372612,13.6999979019165,10.4322422295809,11.2663087844849,11.5429964065552,1982-09-01
"22",13.7899332046509,15.0093750953674,11.8452920913696,12.7217898368835,12.8451104164124,1982-10-01
"23",14.2600166797638,15.1763987541199,13.0796978473663,13.2671942710876,13.4329206943512,1982-11-01
"24",14.0849051475525,15.0866637229919,12.8544342517853,13.2243206501007,13.3900215625763,1982-12-01
"25",14.56582903862,15.9799041748047,13.5407047271729,13.6736464500427,13.9666292667389,1983-01-01
"26",14.4428491592407,15.3850483894348,13.4302110671997,13.2451610565186,13.5592310428619,1983-02-01
"27",14.3676414489746,15.3751094341278,13.0490577220917,13.6229565143585,13.6037657260895,1983-03-01
"28",13.8372242450714,15.0950829982758,12.4659790992737,13.2505750656128,13.3092849254608,1983-04-01
"29",12.1847161054611,13.5839544534683,10.3747803419828,11.107689589262,11.4086429476738,1983-05-01
"30",10.8216500878334,12.0954868197441,8.63690567016602,9.37458726763725,9.59680533409119,1983-06-01
"31",11.1207061260939,12.6771811246872,8.4143191576004,9.87003403902054,9.87214308977127,1983-07-01
"32",11.7056239843369,13.3058204650879,9.28751915693283,10.6443721950054,10.5419486165047,1983-08-01
"33",12.5834711790085,14.0374977588654,10.5734910964966,11.6327114105225,11.7578648328781,1983-09-01
"34",13.7568376064301,14.9759757518768,11.8158582448959,12.6223878860474,12.8683080673218,1983-10-01
"35",14.1445419788361,14.9834797382355,12.5740599632263,12.964607000351,12.9965205192566,1983-11-01
"36",13.7635095119476,14.8026578426361,12.6027009487152,12.98677110672,13.1635394096375,1983-12-01
"37",12.5162308216095,14.0407321453094,11.3755271434784,11.6785588264465,11.8452799320221,1984-01-01
"38",13.2851557731628,14.3539488315582,12.1386053562164,12.1444857120514,12.3449206352234,1984-02-01
"39",13.2987401485443,14.3136322498322,12.1432797908783,12.5865786075592,12.6798317432404,1984-03-01
"40",12.4806230068207,13.7296135425568,11.178215265274,12.0706570148468,11.9480066299438,1984-04-01
"41",11.6115131378174,12.853503704071,10.0696151927114,10.7626843452454,10.9100227952003,1984-05-01
"42",10.7600190639496,11.9771599769592,8.8660791516304,9.40303840488195,9.7771153897047,1984-06-01
"43",9.6115628182888,11.1173533797264,7.26758861541748,8.42819184064865,8.63692033290863,1984-07-01
"44",10.3594272434711,12.0320111513138,8.09928548336029,9.26328036189079,9.38993555307388,1984-08-01
"45",11.7770495414734,13.2510311603546,9.67199102044106,10.7633517384529,10.8936801552773,1984-09-01
"46",13.6811420917511,14.9479892253876,12.2124276161194,12.5589780807495,13.1388862133026,1984-10-01
"47",14.0139288902283,14.9317944049835,12.6459283828735,12.9439680576324,13.0319650173187,1984-11-01
"48",13.466593503952,14.4926390647888,12.2449488639832,12.5987136363983,12.7408380508423,1984-12-01
"49",13.074981212616,14.5190744400024,11.9888107776642,12.0759236812592,12.4420762062073,1985-01-01
"50",13.2359008789062,14.2979354858398,12.0886650085449,12.094274520874,12.2918581962585,1985-02-01
"51",13.3077161312103,14.2883396148682,12.1889638900757,12.6074063777924,12.7171022891998,1985-03-01
"52",12.4932129383087,13.7659924030304,11.3861536979675,12.0541076660156,12.1192462444305,1985-04-01
"53",11.4098215103149,12.6374460458755,10.0976960361004,10.5832579731941,10.8517901301384,1985-05-01
"54",9.75985985994339,11.0497716069221,8.44739425182343,8.44452631473541,9.29133938252926,1985-06-01
"55",8.83970499038696,10.375884026289,6.82089233398438,7.60830545425415,8.17388021945953,1985-07-01
